Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
C9,100nF,CAPC1005X55,Digikey 311-1045-2-ND,TOP,180,-13.7924,10.835
Q5,YJQ20N04A,YJQ20N04A,,TOP,90,-18.38,18.2
R7,4.7k,RESC1005X40,Digikey 311-210KLDKR-ND,TOP,180,9.00001,11
U6,ESP32WROOM32E_16MB,XCVR_ESP32WROOM32E_16MB,,TOP,0,21.985,24.63
J6,66226-034,CON2_1X2_U_FCI,Digikey 66226-034-ND,TOP,270,-13.8,19.03
J12,66226-034,CON2_1X2_U_FCI,Digikey 66226-034-ND,TOP,180,-14.0028,14.0114
J11,66226-034,CON2_1X2_U_FCI,Digikey 66226-034-ND,TOP,0,-19.27,14.1
R5,10k,RESC1005X40,Digikey 311-210KLDKR-ND,TOP,90,11.4,31.7
C5,100nF,CAPC1005X55,Digikey 311-1045-2-ND,TOP,270,11.4,33.8501
C6,22uF,CAPC1608X90N,,TOP,270,9.90001,33.1
C7,100nF,CAPC1005X55N,,TOP,0,9.80001,31.2001
U7,MP2359DJ-LF-Z,SOT95P280X100-6N,,TOP,180,-2.3964,28.7965
C11,10nF,CAPC1005X55,Digikey 311-1045-2-ND,TOP,0,-1.95,25.1
L2,SPH252012H4R7MT,SPH252012H2R2MT,,TOP,270,2.14281,32.32
R2,49.9k,RESC1005X40,Digikey 311-11KJTR-ND,TOP,180,4.29999,29.2999
R4,9.53k,RESC1005X40,Digikey 311-11KJTR-ND,TOP,0,3.29999,27.4
C12,22uF,CAPC1608X87,Digikey 478-1146-2-ND,TOP,0,3.59999,25.4
U1,AMS1117-3,SOT229P700X180-4N,,TOP,270,8.70999,21.8
C13,10uF/0402/10V,CAPC1005X55N,,TOP,0,3.59999,23.9
C17,10uF/0402/10V,CAPC1005X55N,,TOP,180,10.2,27.2001
R6,RC0402FR-071KL,RESC1005X40N,,TOP,270,9.70001,29.2001
D5,SM0402UWC,SM0402UWC,,TOP,0,11.2,28.9001
U2,AL8861Y13,CONV_AL8861Y13,,TOP,180,-13.125,3.29999
R3,0.15Ohm,RESC6432X70,Digikey P.15UTR-ND,TOP,90,-19,2.85001
D9,SD103AWS,SOD-323,,TOP,0,-13.4748,-1.1
J1,B2BPHKSLFSN,JST_B2BPHKSLFSN,,TOP,180,-13.7,7.80001
C1,CL31A106KBHNNNE,CAPC3216X180N,,TOP,0,-8.70001,-0.399999
L3,HF50ACC575032,INDC5750X180,,TOP,270,-6.50001,5.79999
U4,AL8861Y13,CONV_AL8861Y13,,TOP,180,5.59999,3.39999
R8,0.15Ohm,RESC6432X70,Digikey P.15UTR-ND,TOP,90,0,2.85001
L1,HF50ACC575032,INDC5750X180,,TOP,270,12,5.79999
D7,SD103AWS,SOD-323,,TOP,0,5.22526,-1.2
C3,10uF 50V,CAPC3216X180N,,TOP,0,10.62,-0.499999
J4,B2BPHKSLFSN,JST_B2BPHKSLFSN,,TOP,180,4.49999,7.80001
U5,AL8861Y13,CONV_AL8861Y13,,TOP,180,25.275,4.09999
R10,0.15Ohm,RESC6432X70,Digikey P.15UTR-ND,TOP,90,19.1,2.85001
D10,SD103AWS,SOD-323,,TOP,0,24.9252,-1.5
C4,CL31A106KBHNNNE,CAPC3216X180N,,TOP,0,29.9799,-0.399999
J5,B2BPHKSLFSN,JST_B2BPHKSLFSN,,TOP,180,24,8.10001
L5,HF50ACC575032,INDC5750X180,,TOP,270,31.7,5.69999
D4,SD103AWS,SOD-323,,TOP,180,-1.82525,32.7
C2,CL31A106KBHNNNE,CAPC3216X180N,,TOP,0,1.12,21.9
R9,0.15Ohm,RESC6432X70,Digikey P.15UTR-ND,TOP,270,-8.90001,18.95
U3,AL8861Y13,CONV_AL8861Y13,,TOP,0,-3.05001,17.2
D8,SD103AWS,SOD-323,,TOP,0,-3.67475,21.9
L4,HF50ACC575032,INDC5750X180,,TOP,90,2.62539,15.6
J3,B2BPHKSLFSN,JST_B2BPHKSLFSN,,TOP,180,-3.69999,13.9
J8,PJ002BHSMTTR,CUI_PJ002BHSMTTR,,TOP,0,-14.95,29.9001
J2,66226-036,CON4_1X4_U_FCI,Digikey 66226-036-ND,TOP,90,33.5001,29.1899
U8,DS18B20U,SOP65P490X110-8N,,TOP,180,9.00001,13.3
R1,4.7k,RESC1005X40,Digikey 311-210KLDKR-ND,TOP,-90,-2.1,11.4
J9,25630301RP2,CON3_1X3_U_2563,NorComp 25630301RP2,TOP,180,-6.40001,11.4
J10,25630301RP2,CON3_1X3_U_2563,NorComp 25630301RP2,TOP,90,-20.5,10.1
R11,4.7k,RESC1005X40,Digikey 311-210KLDKR-ND,TOP,90,-18.1,9.10001
U9,EVQ-P7C01K,EVQP7C01K,,TOP,90,33.5999,20.4
C8,10uF,CAPC3216X140,Digikey 311-1179-1-ND,TOP,270,-6.731,31.2151
